"","X0.2","X0.5","X1"
"387",0.238,0.765,0.929
"388",0.145,0.537,0.876
"389",0.184,0.646,0.883
"390",0.232,0.724,0.941
"391",0.177,0.65,0.899
"392",0.234,0.737,0.922
"393",0.284,0.81,0.973
"394",0.239,0.798,0.955
"395",0.181,0.64,0.896
"396",0.269,0.76,0.931
"397",0.2,0.673,0.923
"398",0.21,0.663,0.927
"399",0.195,0.716,0.945
"400",0.072,0.679,0.927
"401",0.18,0.685,0.907
"402",0.233,0.752,0.936
"403",0.32,0.793,0.923
"404",0.174,0.655,0.919
"405",0.438,0.871,0.975
"406",0.234,0.771,0.937
"407",0.158,0.548,0.874
"408",0.062,0.477,0.849
"409",0.205,0.692,0.942
"410",0.185,0.716,0.939
"411",0.135,0.553,0.868
"412",0.286,0.794,0.951
"413",0.213,0.719,0.887
"414",0.151,0.603,0.889
"415",0.241,0.729,0.91
"416",0.297,0.763,0.947
"417",0.155,0.639,0.895
"418",0.181,0.732,0.92
"419",0.199,0.687,0.923
"420",0.214,0.708,0.942
"421",0.07,0.469,0.826
"422",0.302,0.81,0.949
"423",0.191,0.662,0.896
