# index, pos, _pos
369,"array([708.31,  58.47])","array([-5.0795086,  7.0792022])"
370,"array([ 709.59, 1322.66])","array([3.10594844, 3.3222649 ])"
371,"array([710.48, 593.35])","array([-1.62778459,  6.4861796 ])"
372,"array([ 710.87, 1265.83])","array([2.97459299, 3.25741385])"
373,"array([712.57, 609.2 ])","array([-1.63235157,  6.39651658])"
374,"array([716.35, 365.16])","array([-1.52894599,  7.47117493])"
375,"array([720.99, 311.68])","array([-1.41757841,  7.6292749 ])"
376,"array([ 722.68, 1218.25])","array([2.8411274 , 3.43117052])"
377,"array([723.83, 575.42])","array([-1.35140727,  6.60295687])"
378,"array([ 730.67, 1359.06])","array([3.31863539, 3.38291335])"
379,"array([735.92, 610.45])","array([-1.2679485 ,  6.12784482])"
380,"array([ 737.69, 1557.67])","array([3.72931718, 3.58644873])"
381,"array([737.91,  -2.  ])","array([-5.33040112,  6.88108505])"
382,"array([740.09, 713.04])","array([-1.20319837,  5.76864331])"
383,"array([741.97, 471.78])","array([-1.24434791,  7.09303489])"
384,"array([749.62, 351.69])","array([-1.30084034,  7.46938971])"
385,"array([765.2 , 341.16])","array([-1.19379751,  7.49242766])"
386,"array([766.99, 591.47])","array([-1.20370546,  6.21447193])"
387,"array([ 769.3 , 1191.43])","array([2.48229589, 3.55991934])"
388,"array([ 77.57, 626.72])","array([-4.21185978,  3.46847227])"
389,"array([781.62, 294.42])","array([-1.07079428,  7.60094304])"
390,"array([783.31, 363.9 ])","array([-0.96318659,  7.5851017 ])"
391,"array([790.8 , 521.12])","array([-1.17232207,  6.71280481])"
392,"array([ 791.02, 1179.29])","array([2.33703312, 3.59667853])"
393,"array([ 791.33, 1358.43])","array([3.01917537, 3.44856692])"
394,"array([ 792.61, 1436.34])","array([3.54991871, 3.47474174])"
395,"array([793.27, 592.31])","array([-1.12914492,  6.35081226])"
396,"array([800.77, 453.85])","array([-1.09979035,  7.2909204 ])"
397,"array([ 802.19, 1349.49])","array([2.81359868, 3.27512789])"
398,"array([804.74, 784.77])","array([-0.77166089,  5.3914883 ])"
399,"array([ 809.85, 1363.53])","array([3.03260332, 3.61066353])"
400,"array([811.83, 472.41])","array([-0.79200343,  7.01986903])"
401,"array([ 818.8 , 1557.04])","array([3.6145998, 3.5939007])"
